address,bike_stands,last_update,lat,lng,name,status
ANGLE ALEE ANDRE MURE ET QUAI ANTOINE RIBOUD,22,2017-09-29 23:36:51,45.743317,4.815747,02010 - CONFLUENCE DARSE,OPEN
Devant le n°41 rue de la Quarantaine,19,2017-09-29 23:31:10,45.75197,4.821662,5015 - FULCHIRON,OPEN
Angle rue de Marseille,29,2017-09-29 23:38:30,45.750945,4.83927,7035 - MARSEILLE / UNIVERSITÉ (FAR),OPEN
41 AV. ROGER SALENGRO (VILLEURBANNE),15,2017-09-29 23:39:20,45.7759505002626,4.87143421497628,10120 - SALENGRO / DESCARTES,OPEN
Devant la mairie du 5°,13,2017-09-29 23:32:06,45.757581,4.801023,5016 - MAIRIE DU 5°,OPEN
Angle rue de la Navigation,20,2017-09-29 23:40:43,45.787522,4.814418,9013 - QUAI PAUL SÉDALLIAN,OPEN
50 QUAI ACHILLE LIGNON,22,2017-09-29 23:38:25,45.78458,4.859664,6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,OPEN
Face Entrée du Parc de la Tête d'Or,35,2017-09-29 23:37:37,45.779702,4.860029,10005 - BOULEVARD DU 11 NOVEMBRE,OPEN
Angle montée de la Boucle,19,2017-09-29 23:33:46,45.779186,4.840917,4012 - PLACE ADRIEN GODIEN,OPEN
133 COURS GAMBETTA,22,2017-09-29 23:37:17,45.750251,4.857919,3009 - MUSEE AFRICAIN,OPEN
17 RUE DE VERDUN (VILLEURBANNE),21,2017-09-29 23:35:19,45.784023,4.897102,10122 - VERDUN / DESGRAND,OPEN
28 RUE DU CHÂTEAU GAILLARD (VILLEURBANNE),16,2017-09-29 23:31:57,45.774754,4.887977,10091 - CHÂTEAU GAILLARD / FORT,OPEN
49 AV. GENERAL LECLERC (VILLEURBANNE),22,2017-09-29 23:34:00,45.755768,4.891542,10113 - GARE DE VILLEURBANNE,OPEN
Face au 45 quai Gillet,22,2017-09-29 23:38:18,45.777961,4.810523,4023 - PONT MAZARYK,OPEN
139 AV. FELIX FAURE,20,2017-09-29 23:40:32,45.754296,4.86359,3066 - KIMMERLING / FAURE,OPEN
Avenue Jean Jaurès - Angle rue de la Guillotière,10,2017-09-29 23:36:42,45.75251,4.846278,7008 - JEAN JAURÈS / GUILLOTIÈRE,OPEN
Entre rue Victor Hugo et rue d'Auvergne,20,2017-09-29 23:30:46,45.754688,4.829927,2023 -  HUGO / STE HÉLÈNE,OPEN
164 AV. PAUL SANTY,18,2017-09-29 23:38:48,45.725403,4.881292,8061 - STADE VUILLERMET,OPEN
"Côté nord de la place, vers l'ascenseur",22,2017-09-29 23:40:06,45.759932,4.832111,2013 - CÉLESTINS,OPEN
2 RUE DES ACACIAS VILLEURBANNE,12,2017-09-29 23:31:06,45.780422,4.904505,10119 - VILLEURBANNE SAINT JEAN,OPEN
26 RUE DE LA THIBAUDIERE,18,2017-09-29 23:40:40,45.750344,4.845048,7053 - JAURÈS / THIBAUDIÈRE,OPEN
A côté de l'église,25,2017-09-29 23:36:49,45.749565,4.887311,3012 - PLACE DU CHÂTEAU,OPEN
Rue Denfert-Rochereau / Angle rue Jacquart,14,2017-09-29 23:31:48,45.77591,4.825394,4009 - JACQUARD / DENFERT-ROCHEREAU,OPEN
Rue Colin - Angle rue Alexis Perroncel,15,2017-09-29 23:34:31,45.774581,4.87406,10089 - COLIN / PERRONCEL,OPEN
Rue Paul Bert,20,2017-09-29 23:33:12,45.757112,4.853405,3037 - PAUL BERT / GARIBALDI,OPEN
54 COURS ALBERT THOMAS,20,2017-09-29 23:39:14,45.747251,4.865386,8035 - SANS SOUCI,OPEN
Face parvis du palais des congrès,21,2017-09-29 23:32:32,45.785456,4.854085,6035 - CITÉ INTERNATIONALE,OPEN
Angle rue Horand / rue Masset,12,2017-09-29 23:34:00,45.773468,4.800286,9020 - BOURBONNAIS,OPEN
Angle rue Tupin / rue Herriot,12,2017-09-29 23:39:06,45.763065,4.83425,2016 - PLACE REGAUD,OPEN
Prox. Quai Pierre Scize,20,2017-09-29 23:39:44,45.767057,4.827014,5029 - PLACE GERSON,OPEN
Rue Anatole France/Angle av Barbusse,20,2017-09-29 23:38:31,45.768127,4.879096,10079 - ANATOLE FRANCE / BARBUSSE,OPEN
174–180 Avenue Jean Jaurès 69007 Lyon,16,2017-09-29 23:39:56,45.737503,4.837484,7009 - JEAN JAURÈS,OPEN
40 AV. LECLERC,20,2017-09-29 23:33:56,45.737745,4.824495,7045 - PARC DES BERGES,OPEN
Rue Florian/Angle Cours Tolstoï,11,2017-09-29 23:34:43,45.761801,4.880735,10018 - TOLSTOÏ / FLORIAN,OPEN
23 RUE DE LA VIABERT,16,2017-09-29 23:38:19,45.766372,4.865058,6044 - CHARMETTES / BELLECOMBE,OPEN
105 COURS ALBERT THOMAS,18,2017-09-29 23:33:50,45.745828,4.870631,3008 - INSTITUT LUMIERE,OPEN
11 PLACE ANTONIN GOURJU,20,2017-09-29 23:34:59,45.759494,4.830161,2036 - PLACE GOURJU,OPEN
