address,bike_stands,last_update,lat,lng,name,status
MAZARGUES - ROND POINT DE MAZARGUES (OBELISQUE),21,2017-09-29 23:38:59,43.250903869637334,5.403244616491982,9087-MAZARGUES,OPEN
SAINT CHARLES MARSEILLAISES - PLACE DES MARSEILLAISES ANGLE RUE PHILIPPE DE GIRARD,19,2017-09-29 23:35:58,43.301510278747365,5.379895702048497,1301- ST CHARLES MARSEILLAISES,OPEN
ROSTAND PREFECTURE - 6 RUE EDMOND ROSTAND ANGLE RUE SYLVABELLE,15,2017-09-29 23:35:55,43.2896832563691,5.379650236474981,6217-ROSTAND - PREFECTURE,OPEN
REPUBLIQUE CATHALA - RUE DE LA REPUBLIQUE ANGLE RUE JEAN MARC CATHALA,9,2017-09-29 23:36:41,43.30056201196652,5.370488134608402,2184-REPUBLIQUE-CATHALA,OPEN
SOUS A55 AU BOUT DES DOCKS FACE AU 22 QUAI DU LAZARET 13002,22,2017-09-29 23:37:44,43.308731,5.36651,02279 - DOCKS LES TERRASSES DU PORT,OPEN
FLAMMARION NATIONAL - BOULEVARD CAMILLE FLAMMARION ANGLE BOULEVARD NATIONAL,7,2017-09-29 23:41:29,43.30353946127941,5.386356771062651,1344 - FLAMMARION NATIONAL,OPEN
JOLIETTE DUNKERQUE - PLACE DE LA JOLIETTE ANGLE BOULEVARD DUNKERQUE,14,2017-09-29 23:38:09,43.3051302607768,5.36697414687028,2272- JOLIETTE-DUNKERQUE,OPEN
PRADO BORELY - 579 AVENUE DU PRADO,9,2017-09-29 23:34:26,43.262455920908494,5.375795816171145,8068-PRADO BORELY,OPEN
LIBERATION CHAPE ESPERANDIEU - BOULAVARD LIBERATION ANGLE RUE CHAPE,12,2017-09-29 23:35:16,43.302008143688155,5.394684906357751,4238-LIBERATION-CHAPE-ESPERANDIEU,OPEN
PLACE AUX HUILES - COURS ESTIENNE D'ORVES ANGLE RUE SAINT SAENS,10,2017-09-29 23:39:44,43.29312239728256,5.371867606488009,1003-PLACE AUX HUILES,OPEN
SAINTE LULLI - 17 RUE SAINTE,15,2017-09-29 23:33:21,43.292666663006464,5.375905974276691,1216-SAINTE - LULLI,OPEN
ENDOUME CORDERIE - 41 RUE D'ENDOUME,13,2017-09-29 23:39:31,43.28923675488644,5.366479730277853,7215-ENDOUME - CORDERIE,OPEN
QUAI DU PORT - 148 QUAI DU PORT,15,2017-09-29 23:40:07,43.295414354264665,5.36552550703358,2179-QUAI DU PORT,OPEN
SCHLOESSING TEISSERE - ANGLE BOULEVARD SCHLOESSING ET RUE RAYMOND TEISSERE,16,2017-09-29 23:35:59,43.2693522531282,5.402740962235228,9085-SCHLOESING TEISSERE,OPEN
PAUL PEYTRAL - 35 BOULEVARD PAUL PEYTRAL,9,2017-09-29 23:33:49,43.289985879061746,5.379124641857261,6100-PAUL PEYTRAL,OPEN
391 MICHELET - 391 BOULEVARD MICHELET,19,2017-09-29 23:33:49,43.25402727813068,5.401873594694653,8149-391 MICHELET,OPEN
TEISSEIRE ROUBAUD - ANGLE RUE RAYMOND TEISSEIRE ET RUE MAGUY ROUBAUD,10,2017-09-29 23:38:23,43.27252367086013,5.399686062414487,9207- TEISSEIRE - ROUBAUD,OPEN
ROME ITALIE BERLIOZ - FACE AU 10 RUE BERLIOZ,15,2017-09-29 23:32:42,43.28892000857008,5.383105742132375,6254-ROME - BERLIOZ - ITALIE,OPEN
FLAMMARION GROBET - BOULEVARD CAMILLE FLAMMARION ANGLE RUE LOUIS GROBET,15,2017-09-29 23:39:15,43.3046818705083,5.3901483781149,1343 - FLAMMARION GROBET,OPEN
LODI VILLAGE - FACE AU 89 RUE DE LODI,15,2017-09-29 23:40:05,43.2886166717576,5.387779642713593,6113-LODI VILLAGE,OPEN
NATIONAL LONGCHAMP - 1 BD NATIONAL ANGLE LONGCHAMP,15,2017-09-29 23:37:43,43.30123319837804,5.387773261785004,1130- NATIONAL LONGCHAMP,OPEN
CORNICHE RAPATRIES - CORNICHE J.F. KENNEDY FACE AU MEMORIAL DES RAPATRIES EN DIRECTION DU VIEUX PORT,15,2017-09-29 23:38:59,43.270172262619184,5.365239906973955,7142-CORNICHE RAPATRIES,OPEN
MICHELET HUVEAUNE - ANGLE BOULEVARD MICHELET ET RUE JACQUES PICON,15,2017-09-29 23:34:16,43.26796549967643,5.393967016838425,8147 - MICHELET HUVEAUNE,OPEN
BELLE DE MAI CADENAT - PLACE BERNARD CADENAT,15,2017-09-29 23:36:27,43.31181964585524,5.387375678428276,3320 - BELLE DE MAI CADENAT,OPEN
BAILLE FRIEDLAND - BOULEVARD BAILLE ANGLE RUE DE FRIEDLAND,17,2017-09-29 23:38:27,43.2865946021474,5.38678589001619,6177-BAILLE FRIEDLAND,OPEN
Parvis entrée parc Chanot,20,2017-09-29 23:35:58,43.2722414899425,5.39166970262158,8307-PRADO MICHELET,OPEN
RUE GEORGES - 28 RUE GEORGES,15,2017-09-29 23:39:41,43.29748821146523,5.397731278573822,5103-RUE GEORGES,OPEN
ROOSEVELT REFORMES - 7 COURS FRANKLIN ROOSEVELT,10,2017-09-29 23:39:54,43.29908095432929,5.38661231791721,1230-ROOSEVELT - REFORMES,OPEN
SAINT CHARLES LECLERC ZATTARA - AVENUE DU GENERAL LECLERC ANGLE RUE ANTOINE ZATTARA,12,2017-09-29 23:39:47,43.30380276644441,5.377690136115547,1345 - SAINT CHARLES LECLERC ZATTARA,OPEN
RABATAU TEISSEIRE - ANGLE BOULEVARD RABATAU ET FACE AU 68 RUE RAYMOND TEISSEIRE,15,2017-09-29 23:32:09,43.27524269246836,5.396409806138883,8257-RABATAU - TEISSEIRE,OPEN
REPUBLIQUE COUTELLERIE - RUE DE LA REPUBLIQUE ANGLE RUE DE LA COUTELLERIE,8,2017-09-29 23:38:05,43.296824934966864,5.373860886192452,1346- REPUBLIQUE COUTELLERIE,OPEN
ST FERREOL DAVSO - RUE FRANCIS DAVSO ANGLE RUE SAINT FERREOL,16,2017-09-29 23:31:56,43.293485736186526,5.378423799723321,1297- ST FÉRRÉOL DAVSO,OPEN
MICHELET LUCE - ANGLE BOULEVARD MICHELET ET BOULEVARD LUCE,14,2017-09-29 23:39:23,43.25850879475187,5.398913930872658,9074-MICHELET LUCE,OPEN
LA PLAINE SUD - RUE DES TROIS MAGES ANGLE PLACE JEAN JAURES,14,2017-09-29 23:40:51,43.29441078214159,5.38545312564012,1228-LA PLAINE SUD,OPEN
BAILLE CONCEPTION  - 145 BOULEVARD BAILLE,13,2017-09-29 23:34:01,43.28872669088929,5.39403885378465,5107-BAILLE CONCEPTION,OPEN
RPUBLIQUE DAMES - 68 BOULEVARD DES DAMES,5,2017-09-29 23:36:28,43.30255028371949,5.369497428189588,2030-REPUBLIQUE DAMES,OPEN
SAKAKINI SAINT PIERRE - BOULEVARD SAKAKINI ANGLE RUE SAINT PIERRE,10,2017-09-29 23:38:51,43.292800863545835,5.401285286456447,5058 -SAKAKINI - SAINT PIERRE,OPEN
