,address,bike_stands,last_update,lat,lng,name,status
0,RUE DES CHAMPEAUX (PRES DE LA GARE ROUTIERE) - 93170 BAGNOLET,50,2017-09-29 22:53:48,48.8645278209514,2.416170724425901,31705 - CHAMPEAUX (BAGNOLET),OPEN
1,52 RUE D'ENGHIEN / ANGLE RUE DU FAUBOURG POISSONIERE - 75010 PARIS,33,2017-09-29 22:59:10,48.87242006305313,2.348395236282807,10042 - POISSONNIÈRE - ENGHIEN,OPEN
2,74 BOULEVARD DES BATIGNOLLES - 75008 PARIS,44,2017-09-29 22:56:14,48.882148945631904,2.319860054774211,08020 - METRO ROME,OPEN
3,37 RUE CASANOVA - 75001 PARIS,37,2017-09-29 22:59:37,48.8682170167744,2.330493511399174,01022 - RUE DE LA PAIX,OPEN
4,139 AVENUE JEAN LOLIVE / MAIL CHARLES DE GAULLE - 93500 PANTIN,25,2017-09-29 23:02:00,48.893268664697416,2.412715733388685,35014 - DE GAULLE (PANTIN),OPEN
5,57 & 36 RUE JULIEN LACROIX - 75020 PARIS,26,2017-09-29 23:01:34,48.870393671603765,2.384222472712587,20040 - PARC DE BELLEVILLE,OPEN
6,BOULEVARD ALEXANDRE SOLJENITSYNE - 92800 PUTEAUX,60,2017-09-29 22:53:40,48.884478,2.24772065,28002 - SOLJENITSYNE (PUTEAUX),OPEN
7,48 RUE OLIVIER DE SERRES - 75015 PARIS,24,2017-09-29 23:01:46,48.834658862792736,2.295789480315903,15111 - SERRES,OPEN
8,ROUTE DE L'ARTILLERIE - 75012 PARIS,55,2017-09-29 22:57:01,48.839041145908176,2.437655339082955,12124 - PYRAMIDE ARTILLERIE,CLOSED
9,56 RUE SAINT GEORGES - 75009 PARIS,22,2017-09-29 23:01:40,48.877872278317966,2.337446804203667,09021 - SAINT GEORGES,OPEN
10,62 RUE DE LILLE - 75007 PARIS,65,2017-09-29 22:57:42,48.85971010443503,2.325809024625026,07007 - MUSÉE D'ORSAY,OPEN
11,103 RUE DES PYRENNEES - 75020 PARIS,21,2017-09-29 22:53:43,48.85550135398888,2.405168520639166,20011 - PYRÉNÉES-DAGORNO,OPEN
12,FACE 143 RUE ANDRE KARMAN - 93300 AUBERVILLIERS,29,2017-09-29 22:53:27,48.9101436710038,2.38505201824411,33006 - KARMAN (AUBERVILLIERS),CLOSED
